Name;Type;Ratio;Amount
defaultDataSource;ToInfiniteCollectionDataSource;0.91;30
defaultDescription;String;0.99;259
defaultEnvironment;RBBrowserEnvironment;1.00;93
defaultErrorHandler;BlCompositeErrorHandler;1.00;85
defaultEventDispatcherClass;BlElementEventDispatcher class;1.00;85
defaultEventHandler;BlCustomEventHandler;0.90;53
defaultExtent;Point;1.00;47
defaultFont;LogicalFont;0.97;34
defaultFontSize;Integer;1.00;34
defaultIconName;Symbol;1.00;154
defaultKind;Object class;1.00;38
defaultLabel;String;0.97;100
defaultLayoutCommonConstraints;BlLayoutCommonConstraints;1.00;85
defaultMenuIconName;Symbol;1.00;31
defaultMenuItemName;String;1.00;81
defaultName;String;1.00;400
defaultNamespaceClass;RBNamespace class;1.00;102
defaultNodeManagerClass;ToAbstractNodeManager class;1.00;38
defaultParentStub;RGObject;1.00;37
defaultPrecision;Number;1.00;30
defaultPreferredExtent;Point;1.00;40
defaultReadOnly;Boolean;1.00;35
defaultResult;ClyRawQueryResult;0.96;52
defaultShape;RSShape;1.00;44
defaultShortcut;KMKeyCombination;1.00;30
defaultText;String;0.83;60
defaultTimeLimit;Duration;1.00;42
defaultTokenProperties;Array;1.00;34
defaultToolbarItemName;String;1.00;34
defaultValue:;#yourself;0.89;39
defaultVisible;Boolean;1.00;34
defineClass:;RBAddClassChange;1.00;33
defineClasses;#yourself;1.00;41
defineHierarchy;FamixMetamodelGenerator;1.00;30
definesSelector:in:;RBCondition;1.00;30
definingClass;RBAbstractClass;0.95;58
definitions;SequenceableCollection;0.90;35
delay:;#yourself;1.00;52
delete;#yourself;0.89;88
dependencies;Collection;0.95;112
dependentControllers;Collection;1.00;66
dependentElements;Collection;1.00;82
dependingOnElements;Set;1.00;88
depth;Integer;1.00;100
descendantAxis:;XPathNodeSet;1.00;32
descendantOrSelfAxis:;XPathNodeSet;1.00;32
description:;#yourself;1.00;315
descriptionInstance;SRElementDescription;0.85;35
descriptionName;MAStringDescription;1.00;84
deselectAll;#yourself;1.00;38
destroy;#yourself;1.00;34
detach;#yourself;1.00;43
detectsBOMs;Boolean;1.00;32
diagram;OPOpenPonkDiagram;0.92;72
diagramController;OPDiagramController;1.00;227
diagramController:;#yourself;1.00;134
diagramControllerClass;OPDiagramController class;1.00;95
diagramElementClass;OPDiagramElement class;1.00;219
diagramElementOfType:withModelElement:ifFound:;OPDiagramElement;1.00;59
diagramModelClass;Object class;1.00;69
dictionaryClass;Collection class;1.00;42
differentTypeOfQuery;FQPropertyQuery;1.00;30
dimension;Point;1.00;34
directed:;BlElementAlignment;1.00;42
direction:;#yourself;0.93;54
directlyDefinesMethod:;Boolean;1.00;53
disableTableLayout;Boolean;1.00;134
disabled:;#yourself;1.00;48
disabledSkinEvent:;ToRawSkin;1.00;31
dispatchAddedToParent;#yourself;1.00;81
dispatchAddedToSceneGraph;#yourself;1.00;78
dispatchChildAdded:;BlElement;1.00;56
dispatchEvent:;#yourself;0.94;288
dispatchLayoutDone;BlElement;1.00;47
displayFullStringOn:;FamixStEntity;1.00;40
displayString;String;1.00;31
displayStringOn:;#yourself;1.00;571
distanceBetween:and:;Number;1.00;33
distributionValue:;Float;0.82;49
do:;#yourself;0.83;344
doAnnounce:;Morph;1.00;128
doExecute:;RSLayout;1.00;48
doInitialize:;RSLayout;1.00;36
doPost:;RSLayout;1.00;31
document:;#yourself;0.92;33
documentRoot;XMLNode;1.00;49
domain:;#yourself;1.00;75
draggable;#yourself;0.95;40
drawDropHighlightOn:;Morph;1.00;90
drawMouseDownHighlightOn:;Morph;1.00;92
drawOn:;#yourself;1.00;180
drawSubmorphsOn:;Morph;1.00;131
dt:;PMODESolver;1.00;32
duration;Duration;0.97;31
duration:;#yourself;0.94;50
edges;SequenceableCollection;1.00;72
effect;BlNullEffect;0.87;85
element:;#yourself;0.86;107
elementClass;XMLElement class;1.00;39
elementDo:;ToSkinEvent;1.00;113
elementId;BlElementId;1.00;45
elements;Collection;0.94;176
elementsDo:;#yourself;1.00;56
elementsToShowInside;SequenceableCollection;0.92;61
emptyOutputCollection;String;0.91;30
enableEventsIn:;BlBasicEventHandler;1.00;76
enableIn:;BlEvent class;1.00;118
enabled;Boolean;1.00;510
enabled:;#yourself;1.00;276
enabledSkinEvent:;#yourself;1.00;103
encoding;String;0.94;33
encodingNames;Set;1.00;41
encompassingRectangle;Rectangle;0.97;271
end:;#yourself;1.00;32
endDocument;#yourself;1.00;34
endElement:;#yourself;1.00;36
endElement:prefix:uri:localName:;#yourself;1.00;38
endPoint:;#yourself;1.00;40
ensureCanManageSkin;#yourself;1.00;49
ensureCreateDirectory;AbstractFileReference;1.00;36
ensureDelete;#yourself;1.00;33
ensureDeselected;#yourself;1.00;67
ensureDiagramElement;OPDiagramElement;1.00;96
ensureHaveSkinManager;#yourself;1.00;51
ensureScope:;#yourself;1.00;40
ensureShownDependenciesInDiagram:;Set;1.00;127
ensuredSkinManager;ToSkinManager;1.00;84
ensuredToStyleStore;ToStyleStore;1.00;34
entities;SequenceableCollection;0.80;115
entity:;#yourself;0.81;48
entityNamed:;MooseEntity;0.95;38
entityStorage;MooseGroupStorage;1.00;75
entries;SequenceableCollection;1.00;63
entriesDo:;#yourself;0.94;48
entryIndex:;#yourself;1.00;42
environment:;#yourself;1.00;60
epsilon;Float;1.00;52
errorHandler;BlCompositeErrorHandler;0.96;48
errorString;String;1.00;49
evaluateIteration;Number;0.93;42
eventClass;BlEvent class;1.00;45
eventDispatcher;BlElementEventDispatcher;1.00;116
eventHandler:;#yourself;1.00;43
eventsToHandle;Array;0.99;365
exampleModel;OPModelObject;0.94;34
executeNotifying:;RBRefactoryChange;1.00;30
executeOnElements:;RSLayout;1.00;40
executeQuery;#yourself;1.00;57
executeRefactoring:;RBAbstractRefactoringTest;1.00;53
executesQuery:;Boolean;1.00;42
exists;Boolean;1.00;66
expectedFailures;Array;0.96;51
expectsBinaryInput;Boolean;1.00;82
expectsBinaryOutput;Boolean;1.00;106
expression:;#yourself;0.82;50
extension;String;0.81;50
extent;Point;1.00;818
extent:;#yourself;0.96;613
extent:depth:;#soleInstance;1.00;34
factory:;#yourself;1.00;34
failedApplicabilityPreconditions;Array;0.98;106
failedBreakingChangePreconditions;Array;0.95;56
fetcher;CoFetcher;0.97;36
ffiLibraryName;CairoLibrary class;0.92;58
file;AbstractFileReference;0.83;34
fileName;String;1.00;62
fileReference;FileReference;0.95;39
fillFromTime:;BlEvent;1.00;57
fillStyle:;#yourself;1.00;52
fillWith:;ClyQueryResult;1.00;38
filter:;#yourself;0.89;51
finalizeIterations;#yourself;1.00;34
findOriginClassOf:;#yourself;0.85;586
findOriginMethodOf:;CompiledMethod;1.00;767
firstClassVariableName;String;1.00;34
fitContent;#yourself;0.96;98
fixStateBeforeExecution;#yourself;1.00;87
flagAsDisabled:;#yourself;1.00;50
flatten;PPFlattenParser;0.98;52
flattenMatchMap:;SmallDictionary;1.00;39
flush;#yourself;0.94;119
focusHolder;BlElement;1.00;89
followBus:;MiAbstractBrowser;1.00;65
followEntity:;#yourself;1.00;88
followingNodes;XMLNodeList;0.94;34
followingNodesDo:;XMLNode;1.00;55
followingSiblingNodes;XMLNodeList;0.94;34
followingSiblingNodesDo:;XMLNode;1.00;58
font;AbstractFont;0.82;53
font:;#yourself;1.00;79
