Name;Type;Ratio;Amount
model:variable;ReAbstractTransformation;1.00;45
modelClass;Object class;0.92;452
models;Collection;0.87;72
models:;SequenceableCollection;0.84;46
mooseModel;MooseObject;0.93;238
move;#yourself;0.87;188
multiply;#yourself;0.95;40
must;Boolean;0.90;46
my;OrderedCollection;0.95;78
name:;#yourself;0.85;1345
named;#soleInstance;0.91;569
named:parent;RGObject;0.96;49
namespaceAxis;XPathNodeSet;1.00;50
needs;Boolean;1.00;116
new:;#soleInstance;0.97;234
newComment;XMLComment;0.85;40
newDocument;XMLDocument;0.88;38
newEvent;BlElementEventDispatcher;0.97;85
newFrom;#soleInstance;0.90;115
newLayout;SpExecutableLayout;0.88;38
newListFor;XMLNodeList;0.91;31
newOn;#soleInstance;1.00;358
newProject;MetacelloCypressBaselineProject;0.89;50
newQuery;FQAbstractQuery;1.00;43
newRaw;ToRawSkin;0.98;111
newStreamAdapter;XMLStreamAdapter;1.00;145
newString;XMLString;0.83;34
newTest;TestCase;0.89;49
newTesting;BlSpace;0.96;48
newWith;#soleInstance;1.00;80
nextMorph;Morph;1.00;50
node:;#yourself;0.95;40
nodeClass;Object class;0.96;102
nodeListClass;XMLNodeList class;0.81;38
nodeTest;XPathASTNode;0.82;46
nodeTest:;XPathASTStepNode;0.91;30
nodes:;#yourself;0.90;56
note;#yourself;0.98;162
notify;#yourself;0.97;273
notifyPosition;BlElement;1.00;34
numberOfColumns;Integer;1.00;43
numberOfRows;Integer;0.97;100
objects;Collection;0.81;135
oclIs;Boolean;1.00;80
of;#soleInstance;0.85;239
ofAll;ClyTypedScope;1.00;62
offset:;#yourself;0.92;78
on:send;#yourself;0.94;34
onAdded;#yourself;1.00;140
onAddedTo;BlElement;1.00;87
onChild;#yourself;1.00;80
onEnvironment;#soleInstance;0.86;71
onInstalled;#yourself;1.00;264
onLayout;#yourself;0.97;98
onMeasure;#yourself;1.00;81
onPosition;BlElement;1.00;90
onRemoved;#yourself;1.00;33
onSkin;#yourself;1.00;33
onStep;#yourself;1.00;42
onSystem;PMStepper;0.89;56
openFor;MiAbstractBrowser;0.80;33
openInWorld;Morph;1.00;45
openInstance;#yourself;1.00;56
openTag;#yourself;1.00;48
optional;PPOptionalParser;0.81;65
options:;#yourself;0.97;73
orderBy;OPModelSimulator;1.00;32
otherExpression;XPathASTNode;1.00;62
outOf;#yourself;1.00;114
outgoing;SequenceableCollection;0.87;275
outgoingMSEProperties;Array;1.00;88
owned;Collection;0.81;430
package:;#yourself;0.93;419
packageName1;String;0.96;49
packageNameFor;String;0.95;53
packageNames;Collection;0.88;36
packagedElements;SequenceableCollection;0.83;34
paneColor;Color;0.83;71
parent:;#yourself;0.91;632
parentAxis;XPathNodeSet;0.88;36
parentSelectors;Array;1.00;120
parentSequence;OrderedCollection;0.88;30
parentType;MooseEntity;0.98;108
parentTypes;Array;1.00;61
parseMethod;OCMethodNode;0.93;53
parserClass;Object class;0.98;221
parserInstance;PPDelegateParser;1.00;34
path:;#yourself;0.81;58
peekFor;Boolean;0.95;39
perform;#yourself;0.87;237
play;#yourself;1.00;50
playOn;BlDevScripterStep;1.00;36
plus;PPPossessiveRepeatingParser;0.87;52
position:;#yourself;0.95;584
positional;SequenceableCollection;0.95;39
post;#yourself;0.94;513
postpone;#yourself;1.00;32
potential;Collection;0.89;32
precedingAxis;XPathNodeSet;0.84;31
precedingSiblingAxis;XPathNodeSet;0.83;30
prepareFor;#yourself;0.99;212
prepareNew;ClyQueryResult;0.90;103
prepareTo;#yourself;0.97;71
prevented;IdentitySet;0.91;31
print;#yourself;0.94;1413
priority:;#yourself;0.98;98
privateAdd;#yourself;0.96;85
privateChildren;Array;1.00;42
privateFullBounds;Rectangle;0.96;125
privateIncoming;Array;1.00;35
privateMove;#yourself;1.00;122
privateParent;Array;1.00;32
privateSet;#yourself;0.99;203
proceed;#yourself;0.97;99
process;#yourself;0.81;183
production;Collection;0.81;86
project:;#yourself;1.00;41
protocol:;#yourself;0.85;41
protocolName;String;0.82;53
protocols;Collection;0.84;37
pushAll;#yourself;1.00;102
pushBack;#yourself;0.98;51
put;#yourself;0.88;37
pvtClean;#yourself;1.00;34
queryAll;MooseQueryResult;0.82;45
queryAllIncoming;MooseIncomingQueryResult;1.00;36
queryAllOutgoing;Collection;1.00;36
queryClass;Object class;0.89;32
queryIncoming;MooseIncomingQueryResult;0.89;33
queryOutgoing;MooseOutgoingQueryResult;0.91;31
radius:;#yourself;0.86;37
range:;#yourself;0.94;87
rawContent;String;1.00;36
rbClass;RBAbstractRefactoringTest;0.96;52
receive;#yourself;0.88;137
record;#yourself;0.93;83
recursively;#yourself;1.00;44
reduce:;String;1.00;38
refresh;#yourself;0.89;205
register;#yourself;0.88;494
registerModelIn;OPElementController;1.00;128
registered;SequenceableCollection;0.87;33
release;#yourself;0.98;81
removeAll;#yourself;0.91;246
removeAllMorphs;Morph;1.00;35
removeChild;#yourself;1.00;52
removeController;#yourself;1.00;274
removeControllerAnd;OPElementController;1.00;195
removeDependent;#yourself;1.00;67
removeDiagram;#yourself;1.00;109
removeDuplicates;DuplicateRemoverIterator;0.90;38
removeEvent;#yourself;1.00;77
removeFrom;#yourself;0.96;225
removeModel;#yourself;1.00;171
removed;#yourself;0.87;77
renderBasic;RSShape;0.97;138
renderContext;WARenderContext;0.98;57
renderOn;#yourself;1.00;62
replace;#yourself;0.87;213
repository:;#yourself;0.90;193
repositoryModel;IceTipEntityModel;0.97;67
represents;Boolean;1.00;50
requestContext;WARequestContext;0.93;197
requestFit;#yourself;1.00;40
requestHFit;BlElement;1.00;32
requestLayout;#yourself;1.00;146
requestNew;#yourself;0.94;149
requestVFit;#yourself;1.00;55
requires;#yourself;0.86;176
reset;#yourself;0.89;1694
resize;#yourself;0.93;50
resolveAll;Boolean;0.95;77
resolvePrefix;String;1.00;32
resolvedProperties;Array;1.00;32
resources;Array;0.96;182
restore;#yourself;0.84;80
restricted;#yourself;1.00;63
resultItems;Object class;0.82;37
results;Collection;0.81;67
retrieves;Boolean;1.00;73
right:;#yourself;0.93;38
roassal;RSShape;0.89;569
rotate;#yourself;0.95;53
rows:;#soleInstance;0.87;76
rule;String;0.88;502
runCase;#yourself;1.00;144
runner:;#yourself;0.95;35
save;#yourself;0.92;95
schedule;#yourself;0.91;52
scope:;#yourself;0.93;162
scopeFor:;Set;0.89;34
segments;SequenceableCollection;0.91;39
selectAll;#yourself;0.89;64
selectIndex;#yourself;0.96;79
selectedIndexes;SequenceableCollection;0.85;71
selectionModel;ToSelectionModel;0.81;135
selects;Boolean;1.00;48
self;Collection;0.85;76
selfAxis;XPathNodeSet;0.90;52
semi;ClyQuery;0.80;41
send;#yourself;0.94;432
sendTo;BlEvent;0.99;325
sender;MooseEntity;0.84;31
serialize;#yourself;0.84;229
set;#yourself;0.96;5722
setBalloon;Morph;1.00;57
setup;#yourself;0.96;66
severity;Symbol;0.94;114
shapeFor;RSBoundingShape;1.00;53
short;String;0.86;30
should;Boolean;0.86;1289
should:;TestCase;1.00;72
should:raise;SRElementDescriptionTest;1.00;46
shouldFail;RBAbstractEnvTestCase;0.97;75
showWithout;OPElementController;0.93;215
signal;#yourself;0.92;112
size:;#yourself;0.84;191
skinEventListeners;OrderedCollection;0.86;62
sort:;#yourself;0.85;45
source:target;#soleInstance;1.00;30
sourceEvent;BlEvent;1.00;42
sourceSelector;Symbol;1.00;94
sourceText;String;0.91;81
species;Object class;0.88;84
spine;RSObject;0.96;54
star;PPPossessiveRepeatingParser;0.82;100
start:;#yourself;0.88;78
startElement:;#yourself;1.00;84
stream:;#yourself;0.89;84
streamConverter;XMLStatelessStreamConverter class;0.84;83
stringFrom;String;1.00;214
stroked;BlBounds;1.00;66
styleName;String;0.91;64
styler;RSObject;0.86;57
subclasses;SequenceableCollection;0.81;60
subjectClass;MicElement class;0.94;47
subjectUnder;ReAbstractRule class;0.97;71
subscribe;#yourself;0.96;54
superclassName:;#yourself;1.00;45
superclasses;Set;1.00;44
supported;SequenceableCollection;0.91;39
supports;Boolean;1.00;113
tabOrder;Integer;1.00;33
tagList;MooseGroup;0.84;31
tagName:;#yourself;0.84;36
take;#yourself;0.81;130
target:;#yourself;0.88;496
targetSelector;Symbol;0.88;92
taskQueue;BlTaskQueue;0.87;80
tear;#yourself;1.00;1216
templateRepository;PhLTemplateTestRepository;0.82;31
terminate;#yourself;0.88;36
test;#yourself;0.89;3679
testAddAll;TestCase;1.00;52
testAll;TestCase;0.99;142
testAny;TestCase;1.00;35
testAs;TestCase;0.97;155
testAt;TestCase;0.97;148
testAttribute;TestCase;1.00;45
testBasic;TestCase;0.98;97
testBe;TestCase;1.00;32
testBeing;OPAbstractElementControllerTest;1.00;51
testCan;TestCase;1.00;211
testCanVerify;AbstractVerificationTest;1.00;31
testChange;TestCase;0.98;55
testCheck;TestCase;1.00;35
testChildElement;BlElement;1.00;33
testClass;TestCase;0.98;199
testClose;TestCase;0.99;69
testCollect;TestCase;1.00;39
testComment;TestCase;1.00;58
testComparisonOfSimilar;ClyTypedQueryTest;1.00;34
testComparisonWithSimilar;ClyAbstractNavigationEnvironmentTest;1.00;33
testContent;TestCase;0.93;39
testContents;TestCase;1.00;56
testConvertingAs;ClyAbstractNavigationEnvironmentTest;1.00;50
testConvertingWith;ClyAbstractNavigationEnvironmentTest;1.00;55
testCopy;TestCase;0.99;193
testCreate;TestCase;1.00;147
testCreation;TestCase;1.00;74
testCreationOn;ClyAbstractNavigationEnvironmentTest;1.00;48
testCreationUnified;ClyAbstractNavigationEnvironmentTest;1.00;50
testDecoratedBy;IteratorTest;1.00;39
testDefault;TestCase;0.98;161
testDescription;TestCase;1.00;71
testDictionary;TestCase;1.00;51
testDisplay;TestCase;1.00;36
testDo;TestCase;1.00;90
testDocument;TestCase;1.00;49
testElement;TestCase;0.84;41
testEmpty;TestCase;0.89;147
testEqual;TestCase;1.00;64
testEquals;TestCase;1.00;61
testFigure;TestCase;1.00;33
testFile;TestCase;0.91;32
testFind;TestCase;0.94;34
testFirst;TestCase;0.93;52
testFollow;TestCase;1.00;30
testForbid;ClyTypedQueryTest;1.00;34
testFrom;TestCase;1.00;69
testGet;TestCase;1.00;46
testGroup;TestCase;1.00;32
testHas;TestCase;0.99;313
testHash;TestCase;1.00;82
testIdentity;TestCase;1.00;34
testIncludes;TestCase;1.00;64
testIndex;TestCase;0.89;34
testInitialize;TestCase;0.93;42
testInvalid;TestCase;1.00;124
testIs;TestCase;0.99;540
testKind;TestCase;1.00;31
testLabel;TestCase;0.92;36
testLast;TestCase;0.95;72
testLoad;TestCase;1.00;39
testMatches;TestCase;1.00;41
testMethod;TestCase;1.00;56
testModel;TestCase;1.00;96
testMultiple;TestCase;1.00;36
testName;TestCase;1.00;63
testNamespace;TestCase;1.00;31
testNested;TestCase;1.00;33
testNew;TestCase;0.99;320
testNo;TestCase;0.99;102
testNode;TestCase;0.95;36
testNon;TestCase;1.00;57
testNot;TestCase;1.00;126
testNumber;TestCase;1.00;53
testOn;TestCase;1.00;107
testOne;TestCase;0.91;49
testOpen;TestCase;1.00;79
testParameters;ParametrizedTestMatrix;0.99;181
testPeek;TestCase;1.00;83
testPosition;TestCase;0.98;65
testPrepare;TestCase;1.00;51
testPrint;TestCase;1.00;73
testPriority;TestCase;1.00;33
testProperties;TestCase;1.00;64
testPropertiesAt;SRObjectTest;1.00;33
testProperty;TestCase;1.00;52
testRaw;TestCase;1.00;36
testRead;TestCase;1.00;103
testRemove;TestCase;0.97;355
testReplace;TestCase;1.00;35
testReset;TestCase;1.00;115
testRight;TestCase;0.92;35
testRuleNot;ReAbstractRuleTestCase;1.00;47
testRun;TestCase;1.00;41
testSelect;TestCase;1.00;100
testSet;TestCase;0.99;85
testShow;TestCase;1.00;116
testSimple;TestCase;0.96;70
testSize;TestCase;0.93;51
testSort;TestCase;1.00;47
testSorted;TestCase;0.92;36
testStore;TestCase;0.96;48
testStream;TestCase;1.00;60
testString;TestCase;0.97;109
testTag;TestCase;1.00;31
testTake;TestCase;1.00;30
testTo;TestCase;1.00;40
testTwo;TestCase;0.95;35
testUp;TestCase;1.00;80
testUpdate;TestCase;1.00;34
testValidate;TestCase;1.00;68
testVerified;AbstractVerificationTest;1.00;48
testWith;TestCase;0.99;149
testWithout;TestCase;1.00;36
testWrite;TestCase;1.00;76
textChanged;#yourself;1.00;36
theme;PharoDarkTheme;0.85;322
timeStamp;Magnitude;0.84;49
to:;#yourself;0.97;109
toString;ArrayedCollection;1.00;55
toString:;String;1.00;54
toStyle;ToStyleStore;0.97;62
toTheme;#yourself;0.96;66
toolbarMenu;CmdMenuCommandActivationStrategy;0.89;32
total;Number;0.86;101
trace;#yourself;1.00;54
trait;TaAbstractComposition;0.83;3419
traits;Array;0.92;3069
translate;#yourself;0.94;330
transparent;Color;0.86;72
type:;#yourself;0.99;148
typeIcon;Form;1.00;34
un;FQAbstractQuery;0.92;36
undefined;String;0.83;242
unhook;OPElementController;1.00;81
uninstall;#yourself;1.00;68
unload;#yourself;0.94;31
unnamed;RGObject;1.00;45
unresolvedValue;RGUnresolvedValue;1.00;55
unsubscribe;#yourself;0.96;108
upTo;SequenceableCollection;0.87;180
update;#yourself;0.93;1622
url:;#yourself;0.81;61
urlOf;WAUrl;1.00;171
used;Collection;0.93;40
username:;#yourself;0.94;34
vFit;#yourself;1.00;68
validateAttribute;XMLAttributeValidator;1.00;65
validateAttributes;#yourself;1.00;42
validateClass;OPBPMNNodeModel class;0.90;71
variable:class;ReAbstractTransformation;1.00;43
verify:;SequenceableCollection;0.81;44
versionNumber;MetacelloVersionNumber class;0.96;305
wait;#yourself;0.95;202
wants;Boolean;0.99;652
was;Boolean;0.90;65
weak;WeakAnnouncementSubscription;0.96;90
when;#yourself;0.84;514
width:;#yourself;0.92;309
widthOf;Number;1.00;30
window:;#yourself;0.95;70
windowTitle;String;0.99;151
with:do;#yourself;1.00;32
withAll:;#soleInstance;0.82;141
withAllChildrenBreadth;BlElement;0.94;50
withBlock;RBCondition;0.94;64
withBorder;#yourself;1.00;96
withCollection;IteratorWithCollectionAPI;0.88;52
withScope;ClyQuery;0.90;152
without;#yourself;0.82;137
world;WorldMorph;0.86;95
wrapCentering;#yourself;0.91;32
writeBody;#yourself;1.00;37
xmiName:;OPXMIInfoItems;1.00;49
yet;Symbol;1.00;30
zoomTo;#yourself;0.92;55
