Name;Type;Ratio;Amount
skinEventListeners;OrderedCollection;1.00;55
slot;Variable;0.86;42
sortBlock;FullBlockClosure;1.00;30
sourceController;OPElementController;1.00;32
sourceEdges;SRToManyLink;1.00;86
sourceElement;BlElement;1.00;82
spCommand;IceTipSpCommand;1.00;57
space;BlSpace;0.96;217
spaceReference;BlSpaceReference;1.00;84
spacing;Point;0.85;34
specInitializationStrategy;SpInitializationStrategy;1.00;46
start;Integer;0.83;187
startIndex;Integer;1.00;119
startPosition;Integer;0.98;85
stepper;PMStepper;1.00;41
stonReader;STONReader;1.00;103
stonWriter;STONWriter;1.00;93
stop;Integer;0.87;77
storage;MooseGroupStorage;0.86;44
streamAdapter;XMLStreamAdapter;1.00;85
streamStrategy;FLFileReferenceStreamStrategy;0.85;34
string;String;0.96;2584
stringNode;XMLString;1.00;30
stringOrBlock;FullBlockClosure;0.87;261
stringOrSymbol;Symbol;0.89;32
stringOrText;ArrayedCollection;0.98;40
styleSheetSkin;ToRawSkin;0.83;30
styler;RSChartStyler;0.86;30
subBox;Rectangle;1.00;78
submorphs;Array;1.00;133
subqueries;SequenceableCollection;0.89;49
success;Boolean;1.00;78
suite;TestSuite;0.81;67
suiteName;String;1.00;66
sum;Magnitude;0.81;30
symbol;Symbol;0.98;1406
system;PMODESystem;0.94;81
systemAnnouncement;SystemAnnouncement;0.90;54
systemID;String;1.00;44
tagName;String;0.96;46
tags;Collection;0.95;78
tally;Integer;0.95;36
targetController;OPElementController;0.97;32
targetEdges;SRToManyLink;1.00;86
targetString;String;1.00;42
taskQueue;BlTaskQueue;0.97;85
testParameters;Array;1.00;60
testingEnvironment;SystemEnvironment;0.96;102
testingSpaces;OrderedCollection;1.00;47
textArea;RubAbstractTextArea;0.86;31
theme;ToTheme;0.93;63
timeStamp;Integer;0.88;35
timeStep;Float;0.85;34
timestampInMicroseconds;Integer;1.00;50
toIndex;Integer;1.00;31
tokens;SequenceableCollection;0.96;47
top;Magnitude;0.81;44
total;Integer;1.00;36
totalShapesAmount;Integer;1.00;51
twoArgumentBlock;FullBlockClosure;1.00;46
typedQueryClass;ClyTypedQuery class;0.90;38
typedScopeClass;ClyTypedScope class;0.93;38
uRI;String;0.98;113
uniqueInstance;#soleInstance;1.00;67
userData;IdentityDictionary;1.00;79
uuid;UUID;0.80;86
vFit;Symbol;1.00;95
validatorContainer;DTDDoctypeDefinition;1.00;34
valuable;FullBlockClosure;0.88;206
values;SequenceableCollection;0.87;71
varName;Symbol;1.00;49
variableName;Symbol;1.00;68
verification;#soleInstance;0.81;39
verifiedModel;SequenceableCollection;0.99;107
visuals;BlElementVisuals;1.00;84
vr;BlLayoutResizer;0.98;104
widget;Morph;0.98;52
width;Number;0.98;147
windowPresenter;SpWindowPresenter;0.98;96
withCollectionAPI;IteratorWithCollectionAPI;1.00;38
world;WorldMorph;0.99;128
writeStream;PositionableStream;0.81;92
xScale;NSScale;1.00;30
y;Magnitude;0.80;110
yScale;NSScale;1.00;30
