name;Type;Ratio;Amount
ofCode;Integer;0.89;39
ofColumns;Integer;0.98;44
ofQuery;FQUnaryQuery;1.00;37
ofRows;Integer;0.99;100
ofType:;Boolean;0.87;124
offset:;#yourself;0.92;97
on;TestCase;0.96;177
on:with:;#yourself;0.87;34
onMethod:;OrderedCollection;0.92;56
once:;BlEventHandler;1.00;31
only:;#yourself;0.91;61
openInWorld:;Morph;1.00;35
openSet:;Boolean;1.00;66
opened;#yourself;0.83;131
option;ToListSelectionOption;0.89;58
optional;#yourself;0.88;50
orExternal;#yourself;1.00;57
order:;#yourself;1.00;48
output;Boolean;0.84;109
output:;ArrayedCollection;0.98;64
outputCollection;ArrayedCollection;1.00;99
owner:;#yourself;0.95;243
pITarget:data:;XMLPI;1.00;43
packagesNames;Array;1.00;33
paneColor:;Morph;1.00;172
parentOf:;XPathASTNode;0.92;67
parentOn:;#yourself;1.00;85
parentStub;RGObject;1.00;63
parentsDo:;BlElement;1.00;58
parentsIn:;OrderedCollection;0.95;36
parser:;#yourself;0.97;106
parsersDo:;PPParser;1.00;35
pass:;#yourself;0.97;65
pathOn:;#yourself;1.00;32
pathRoot;#yourself;1.00;40
peek;#yourself;0.90;81
placeholder;BlElement;0.88;50
pointOf:;Point;1.00;36
pointToLocal:;Point;1.00;35
policy:;#yourself;1.00;72
positioning;Symbol;0.96;45
post:;RSLayout;0.91;31
precision;Number;0.84;36
present;#yourself;0.81;72
presenter;SpPresenter;0.83;194
presenter:;#yourself;0.83;58
presenterClass;Object class;0.95;53
presenters;#yourself;0.97;463
pressed;Boolean;1.00;42
propagate;Boolean;0.96;68
propagated;Boolean;0.99;96
properties:;#yourself;0.86;121
protocol:;#yourself;0.92;505
provider:;#yourself;0.82;33
providers;Array;0.95;59
put;#yourself;1.00;155
queryFrom:;ClyMethodQuery;0.86;32
rawSkin;ToRawSkin;0.95;113
rawStyle;#yourself;1.00;58
rect;Rectangle;0.94;32
rect:;#yourself;0.96;158
rectangle;Rectangle;0.82;358
rectangle:on:;#yourself;0.94;33
redefined;Boolean;0.97;35
redefined:;Boolean;1.00;37
removal;#yourself;0.80;49
remove;#yourself;0.85;60
remove:;#yourself;0.97;63
removed:;#yourself;0.91;67
removedFromSceneGraph;#yourself;0.88;30
render;#yourself;0.99;523
renderIn:;#yourself;1.00;31
rendered;Boolean;0.91;540
repositoryDescription:;MetacelloCypressBaselineProject;1.00;51
request:;#yourself;0.91;117
requestContext;WARequestContext;0.99;103
requested;Boolean;0.98;60
required:;#yourself;0.93;50
reset;#yourself;0.93;104
resizableByUser;Boolean;1.00;154
resizing;Symbol;1.00;224
resizing:;#yourself;1.00;234
resolution;#yourself;1.00;80
resolvableProperties;SequenceableCollection;0.99;71
resolved:;Boolean;1.00;30
response;WABufferedResponse;0.82;99
result:;#yourself;0.90;201
resultByDefault;#yourself;1.00;38
results:;#yourself;0.88;61
root:;#yourself;0.81;117
rows;Number;0.82;112
rule:;#yourself;0.90;46
running;Boolean;0.91;84
